Rank,Country,Country Code,Gold,Silver,Bronze,Total Medal,Male Athletes,Female  Athletes,Total  Athletes
1,United States,US,40,44,42,126,291,328,619
2,China,CHN,40,27,24,91,134,264,398
3,Japan,JPN,20,12,13,45,230,201,431
4,Australia,AUS,18,19,16,53,210,265,475
5,France,FRA,16,26,22,64,305,295,600
6,Netherlands,NED,15,7,12,34,117,172,289
7,Great Britain,GBG,14,22,29,65,164,178,342
8,South Korea,KOR,13,9,10,32,66,81,147
9,Italy,ITA,12,13,15,40,205,192,397
10,Germany,GER,12,13,8,33,232,225,457
11,New Zealand,NZ,10,7,3,20,107,101,208
12,Canada,CAN,9,7,11,27,129,203,332
13,Uzbekistan,UZB,8,2,3,13,57,31,88
14,Hungary,HUN,6,7,6,19,92,85,177
15,Spain,SPA,5,4,9,18,199,202,401
16,Sweden,SWE,4,4,3,11,59,66,125
17,Kenya,KEN,4,2,5,11,40,34,74
18,Norway,NOR,4,1,3,8,56,53,109
19,Ireland,IRE,4,0,3,7,74,69,143
20,Brazil,BRZ,3,7,10,20,126,164,290
21,Iran,IRN,3,6,3,12,30,11,41
22,Ukraine,UKR,3,5,4,12,72,69,141
23,Romania,ROM,3,4,2,9,49,47,96
24,Georgia,GEO,3,3,1,7,21,7,28
25,Belgium,BEL,3,1,6,10,89,88,177
26,Bulgaria,BUL,3,1,3,7,21,25,46
27,Serbia,SER,3,1,1,5,70,44,114
28,Czech Republic,CZE,3,0,2,5,62,49,111
29,Denmark,DEN,2,2,5,9,57,74,131
30,Azerbaijan,AZE,2,2,3,7,28,20,48
30,Croatia,CRO,2,2,3,7,58,15,73
32,Cuba,CUB,2,1,6,9,34,27,61
33,Bahrain,BHR,2,1,1,4,6,8,14
34,Slovenia,SLO,2,1,0,3,48,47,95
35,Chinese Taipei,TPE,2,0,5,7,26,34,60
36,Austria,AUT,2,0,3,5,47,37,84
37,Hong Kong,HK,2,0,2,4,16,18,34
37,Philippines,PHI,2,0,2,4,7,15,22
39,Algeria,ALG,2,0,1,3,27,19,46
39,Indonesia,IDN,2,0,1,3,16,13,29
41,Israel,ISR,1,5,1,7,56,33,89
42,Poland,POL,1,4,5,10,102,124,226
43,Kazakhstan,KAZ,1,3,3,7,54,25,79
44,Jamaica,JAM,1,3,2,6,33,32,65
44,South Africa,SA,1,3,2,6,78,63,141
44,Thailand,THA,1,3,2,6,24,28,52
47,Ethiopia,ETH,1,3,0,4,16,17,33
48,Switzerland,SWI,1,2,5,8,71,66,137
49,Ecuador,ECU,1,2,2,5,16,24,40
50,Portugal,POR,1,2,1,4,38,37,75
51,Greece,GRE,1,1,6,8,59,41,100
52,Argentina,ARG,1,1,1,3,110,33,143
52,Egypt,EGY,1,1,1,3,103,54,157
52,Tunisia,TUN,1,1,1,3,12,14,26
55,Botswana,BOT,1,1,0,2,12,2,14
55,Chile,CHI,1,1,0,2,30,18,48
55,St Lucia,LCA,1,1,0,2,3,1,4
55,Uganda,UGA,1,1,0,2,12,13,25
59,Dominican Republic,DOM,1,0,2,3,34,25,59
60,Guatemala,GUA,1,0,1,2,10,6,16
60,Morocco,MOR,1,0,1,2,43,18,61
62,Dominica,DMA,1,0,0,1,2,2,4
62,Pakistan,PKN,1,0,0,1,4,3,7
64,Turkey,TUR,0,3,5,8,3,3,6
65,Mexico,MEX,0,3,2,5,45,63,108
66,Armenia,ARM,0,3,1,4,13,2,15
66,Colombia,COL,0,3,1,4,37,51,88
68,North Korea,PRK,0,2,4,6,66,81,147
68,Kyrgyzstan,KGZ,0,2,4,6,11,5,16
70,Lithuania,LTU,0,2,2,4,27,24,51
71,India,IND,0,1,5,6,66,46,112
72,Moldova,MDA,0,1,3,4,14,12,26
73,Kosovo,KOS,0,1,1,2,2,7,9
74,Cyprus,CYP,0,1,0,1,6,9,15
74,Fiji,FIJ,0,1,0,1,19,17,36
74,Jordan,JOR,0,1,0,1,9,3,12
74,Mongolia,MGL,0,1,0,1,14,18,32
74,Panama,PAN,0,1,0,1,3,5,8
79,Tajikistan,TJK,0,0,3,3,11,3,14
80,Albania,ALB,0,0,2,2,5,3,8
80,Grenada,GRN,0,0,2,2,4,2,6
80,Malaysia,MAS,0,0,2,2,13,13,26
80,Puerto Rico,PUR,0,0,2,2,27,24,51
84,Cape Verde,CPV,0,0,1,1,4,3,7
84,Ivory Coast,CIV,0,0,1,1,4,9,13
84,Refugee Olympic Team,EOR,0,0,1,1,24,13,37
84,Peru,PER,0,0,1,1,9,17,26
84,Qatar,QAT,0,0,1,1,12,1,13
84,Singapore,SIN,0,0,1,1,7,16,23
84,Slovakia,SVK,0,0,1,1,14,14,28
84,Zambia,ZAM,0,0,1,1,9,22,31
